Color Name,Hexdecimal Code
Baby Blue ,4878a6
Black,0
Blaze ,fa4d27
Brown ,6f3f25
Burgundy ,7c132d
Brick ,c44f4f
Covert Camo ,Covert.avif
Charcoal Gray ,666a69
Dark Tan ,735f47
Desert Tiger Stripe Camo ,Desert.avif
Digital Camo ,Digital.avif
Duck Hunter Camo,Duck.avif
Forest,185933
Fuscia,8b1458
Gold,f19729
Grasshopper,27b668
Ice,81e2e9
Kelly ,035f1d
Marpat Camo,Marpat.avif
Mint,92d397
Navy,1c2739
Neon Blue,25acc9
Neon Green,58dc37
Neon Pink ,ff3f8e
Neon Yellow,d2ff2e
Olive,606455
Orange,f46e1a
Peach,f3ae7b
Plum,70398e
Purple,8c50c3
Red,e00016
Royal,4510b7
Rust,b95331
Sand,c6ad7b
Teal,29b39c
White,fffafa
Woodland Camo,Woodland.avif
Yellow,dad41b
